player_name,team_abbrev,salary_2025_26,total_guaranteed,AGE,GP,TS_PCT,PIE,USG_PCT,PTS,REB,AST,team_wins,team_win_pct
Stephen Curry,GSW,59606817.0,122193975.0,37.0,70,0.618,0.145,0.286,24.5,4.4,6.0,48,0.585
Joel Embiid,PHI,55224526.0,176072526.0,31.0,19,0.58,0.169,0.342,23.8,8.2,4.5,24,0.293
Nikola Jokić,DEN,55224526.0,114257640.0,30.0,70,0.663,0.206,0.285,29.6,12.7,10.2,50,0.61
Kevin Durant,HOU,54708609.0,98611048.0,36.0,62,0.642,0.142,0.283,26.6,6.0,4.2,52,0.634
Jayson Tatum,BOS,54126450.0,242486496.0,27.0,72,0.582,0.158,0.301,26.8,8.7,6.0,61,0.744
Anthony Davis,WAS,54126450.0,112583016.0,32.0,51,0.588,0.179,0.301,24.7,11.6,3.5,18,0.22
Giannis Antetokounmpo,MIL,54126450.0,112583016.0,30.0,67,0.625,0.21,0.346,30.4,11.9,6.5,48,0.585
Jaylen Brown,BOS,53142264.0,236187840.0,28.0,63,0.555,0.114,0.282,22.2,5.8,4.5,61,0.744
Karl-Anthony Towns,NYK,53142264.0,110220992.0,29.0,72,0.63,0.161,0.265,24.4,12.8,3.1,51,0.622
LeBron James,LAL,52627153.0,52627153.0,40.0,70,0.604,0.169,0.291,24.4,7.8,8.2,50,0.61
Paul George,PHI,51666090.0,105792470.0,35.0,41,0.543,0.106,0.233,16.2,5.3,4.3,24,0.293
Zach LaVine,SAC,47499660.0,47499660.0,30.0,74,0.639,0.115,0.251,23.3,4.3,4.2,40,0.488
Cade Cunningham,DET,46394100.0,269085780.0,23.0,70,0.565,0.152,0.323,26.1,6.1,9.1,44,0.537
Evan Mobley,CLE,46394100.0,269085780.0,24.0,71,0.633,0.151,0.226,18.5,9.3,3.2,64,0.78
Jamal Murray,DEN,46394100.0,207845568.0,28.0,67,0.584,0.111,0.235,21.4,3.9,6.0,50,0.61
Lauri Markkanen,UTA,46394100.0,195868144.0,28.0,47,0.571,0.103,0.231,19.0,5.9,1.5,17,0.207
