player_name,team,salary_2025_26,salary_2026_27,salary_2027_28,salary_2028_29,salary_2029_30,salary_2030_31,guaranteed
Stephen Curry,GSW,59606817.0,62587158.0,,,,,122193975.0
Joel Embiid,PHI,55224526.0,58100000.0,62748000.0,67396000.0,,,176072526.0
Nikola Jokić,DEN,55224526.0,59033114.0,62841702.0,,,,114257640.0
Kevin Durant,HOU,54708609.0,43902439.0,46097561.0,,,,98611048.0
Jayson Tatum,BOS,54126450.0,58456566.0,62786682.0,67116798.0,71446914.0,,242486496.0
Anthony Davis,WAS,54126450.0,58456566.0,62786682.0,,,,112583016.0
Giannis Antetokounmpo,MIL,54126450.0,58456566.0,62786682.0,,,,112583016.0
Jimmy Butler,GSW,54126450.0,56832773.0,,,,,110959223.0
Jaylen Brown,BOS,53142264.0,57078728.0,61015192.0,64951656.0,,,236187840.0
Devin Booker,PHO,53142264.0,57078728.0,61015192.0,64065952.0,69191228.0,,235302136.0
Karl-Anthony Towns,NYK,53142264.0,57078728.0,61015192.0,,,,110220992.0
LeBron James,LAL,52627153.0,,,,,,52627153.0
Paul George,PHI,51666090.0,54126380.0,56586670.0,,,,105792470.0
Kawhi Leonard,LAC,50000000.0,50300000.0,,,,,100300000.0
Zach LaVine,SAC,47499660.0,48967380.0,,,,,47499660.0
Cade Cunningham,DET,46394100.0,50105628.0,53817156.0,57528684.0,61240212.0,,269085780.0
Evan Mobley,CLE,46394100.0,50105628.0,53817156.0,57528684.0,61240212.0,,269085780.0
Jamal Murray,DEN,46394100.0,50105628.0,53817156.0,57528684.0,,,207845568.0
Lauri Markkanen,UTA,46394100.0,46113154.0,49824681.0,53536209.0,,,195868144.0
Donovan Mitchell,CLE,46394100.0,50105628.0,53817156.0,,,,96499728.0
Trae Young,WAS,46394100.0,48967380.0,,,,,46394100.0
Luka Dončić,LAL,45999660.0,49800000.0,53784000.0,57768000.0,,,149583660.0
Anthony Edwards,MIN,45550512.0,48924624.0,52298736.0,55672848.0,,,202446720.0
Tyrese Haliburton,IND,45550512.0,48924624.0,52298736.0,55672848.0,,,202446720.0
Pascal Siakam,IND,45550512.0,48924624.0,52298736.0,,,,146773872.0
Domantas Sabonis,SAC,42336000.0,45472000.0,48608000.0,,,,136416000.0
OG Anunoby,NYK,39568966.0,42500000.0,45431034.0,48362068.0,,,127500000.0
Zion Williamson,NOP,39446090.0,42166510.0,44886930.0,,,,126499530.0
Ja Morant,MEM,39446090.0,42166510.0,44886930.0,,,,126499530.0
Darius Garland,LAC,39446090.0,42166510.0,44886930.0,,,,126499530.0
James Harden,CLE,39182693.0,42317307.0,,,,,
Scottie Barnes,TOR,38661750.0,41754690.0,44847630.0,47940570.0,51033510.0,,224238150.0
Franz Wagner,ORL,38661750.0,41754690.0,44847630.0,47940570.0,51033510.0,,224238150.0
Shai Gilgeous-Alexander,OKC,38333050.0,40806150.0,61005000.0,65885400.0,70765800.0,75646200.0,276795400.0
Michael Porter Jr.,BRK,38333050.0,40806150.0,,,,,50333050.0
Brandon Ingram,TOR,38095238.0,40000000.0,41904762.0,,,,78095238.0
Tyrese Maxey,PHI,37958760.0,40770520.0,43582280.0,46394040.0,,,168705600.0
LaMelo Ball,CHO,37958760.0,40770520.0,43582280.0,46394040.0,,,168705600.0
De'Aaron Fox,SAS,37096620.0,49800000.0,53784000.0,57768000.0,61752000.0,,260200620.0
Bam Adebayo,MIA,37096620.0,49800000.0,53784000.0,57768000.0,,,140680620.0
Desmond Bane,ORL,36725670.0,39446090.0,42166510.0,44886930.0,,,163225200.0
Kyrie Irving,DAL,36566002.0,39491282.0,42416562.0,,,,76057284.0
Jaren Jackson Jr.,UTA,35000000.0,49000000.0,50500000.0,52000000.0,53500000.0,,186500000.0
Jalen Suggs,ORL,35000000.0,32400000.0,29600000.0,26800000.0,26700000.0,,123800000.0
Rudy Gobert,MIN,35000000.0,36500000.0,38000000.0,,,,71500000.0
